bucket,bucket_reason,product_id,product_name,spec_id,model_name,mapping_status,mapping_source,url,offer_id,url_offer_id,sku_id,sku_name,spec_text,verified_at,fingerprint_present,cdp_health,cdp_dead_match,cdp_alive_match,weird_url,oid_mismatch,incomplete_specs,in_shopee,stock,monthly_sales,suggested_qty
ok_skip,approved_complete,16790492139,隔日到貨🔥 純色棉襪 3雙110 女襪S6 長襪 棉襪 白長襪 中筒襪 襪子 白色襪子 女生襪子 女長襪 襪子女,98491202820,純白,approved,manual,https://detail.1688.com/offer/703961968928.html,703961968928,703961968928,5704602103113,白色,白色>均码,2026-09-06T14:52:25Z,Y,,N,N,N,N,N,Y,7100,5026,13000
ok_skip,approved_complete,16790492139,隔日到貨🔥 純色棉襪 3雙110 女襪S6 長襪 棉襪 白長襪 中筒襪 襪子 白色襪子 女生襪子 女長襪 襪子女,98491202821,奶白興,approved,manual,https://detail.1688.com/offer/682877407287.html,682877407287,682877407287,4881407420807,2349米白色,2349米白色>均码,2026-08-08T06:57:23Z,Y,,N,N,N,N,N,Y,2300,1453,3510
ok_skip,approved_complete,16790492139,隔日到貨🔥 純色棉襪 3雙110 女襪S6 長襪 棉襪 白長襪 中筒襪 襪子 白色襪子 女生襪子 女長襪 襪子女,98491202818,黑色,approved,manual,https://detail.1688.com/offer/682877407287.html,682877407287,682877407287,4881407420805,2349黑色,2349黑色>均码,2026-08-08T07:20:58Z,Y,,N,N,N,N,N,Y,1600,886,1940
ok_skip,approved_complete,16790492139,隔日到貨🔥 純色棉襪 3雙110 女襪S6 長襪 棉襪 白長襪 中筒襪 襪子 白色襪子 女生襪子 女長襪 襪子女,98491202822,淺卡其,approved,manual,https://detail.1688.com/offer/682877407287.html,682877407287,682877407287,5111698535889,2349淺卡其,2349浅卡其>均码,2026-08-08T07:21:08Z,Y,,N,N,N,N,N,Y,355,219,520
ok_skip,approved_complete,16790492139,隔日到貨🔥 純色棉襪 3雙110 女襪S6 長襪 棉襪 白長襪 中筒襪 襪子 白色襪子 女生襪子 女長襪 襪子女,98491202823,深卡其,approved,manual,https://detail.1688.com/offer/682877407287.html,682877407287,682877407287,4881407420809,2349深卡其,2349深卡其>均码,2026-08-08T07:21:10Z,Y,,N,N,N,N,N,Y,192,136,350
ok_skip,approved_complete,16790492139,隔日到貨🔥 純色棉襪 3雙110 女襪S6 長襪 棉襪 白長襪 中筒襪 襪子 白色襪子 女生襪子 女長襪 襪子女,98491202819,咖啡,approved,manual,https://detail.1688.com/offer/682877407287.html,682877407287,682877407287,4881407420810,2349咖啡,2349咖啡>均码,2026-08-08T07:32:20Z,Y,,N,N,N,N,N,Y,175,129,340
ok_skip,approved_complete,22641058481,隔日到貨🔥 3雙110 純色堆堆襪 白襪 S38 長襪 純色 棉襪 女生襪子 中筒襪 襪子 襪子女 女襪 白長襪 素色,221554066001,"黑色,均碼 22 - 25 公分",approved,manual,https://detail.1688.com/offer/682133351130.html,682133351130,682133351130,5057048663211,黑色,"黑色,均码",2026-08-08T07:34:15Z,Y,,N,N,N,N,N,Y,489,322,800
ok_skip,approved_complete,22641058481,隔日到貨🔥 3雙110 純色堆堆襪 白襪 S38 長襪 純色 棉襪 女生襪子 中筒襪 襪子 襪子女 女襪 白長襪 素色,221554066002,"白色,均碼 22 - 25 公分",approved,manual,https://detail.1688.com/offer/682133351130.html,682133351130,682133351130,5057048663212,白色,"白色,均码",2026-08-08T05:40:22Z,Y,,N,N,N,N,N,Y,812,829,2500
ok_skip,approved_complete,22641058481,隔日到貨🔥 3雙110 純色堆堆襪 白襪 S38 長襪 純色 棉襪 女生襪子 中筒襪 襪子 襪子女 女襪 白長襪 素色,221554066003,"淺卡其,均碼 22 - 25 公分",approved,manual,https://detail.1688.com/offer/682133351130.html,682133351130,682133351130,5977577080996,卡其,"卡其,均码",2026-08-08T07:40:13Z,Y,,N,N,N,N,N,Y,146,101,260
ok_skip,approved_complete,22641058481,隔日到貨🔥 3雙110 純色堆堆襪 白襪 S38 長襪 純色 棉襪 女生襪子 中筒襪 襪子 襪子女 女襪 白長襪 素色,221554065998,"深卡其,均碼 22 - 25 公分",approved,manual,https://detail.1688.com/offer/682133351130.html,682133351130,682133351130,5977577080995,淺咖,"淺咖,均码",2026-08-08T07:40:19Z,Y,,N,N,N,N,N,Y,102,34,30
