bucket,original_bucket,bucket_changed,bucket_reason,ok_skip_eligible,issue,product_id,product_name,spec_id,model_name,mapping_status,mapping_source,url,offer_id,url_offer_id,sku_id,sku_name,verified_at,fingerprint_present,stock,monthly_sales,suggested_qty,priority,health,health_http_status,health_final_url,health_reason,health_method,notes
mapping_suspect,mapping_suspect,N,has_url_mapping_incomplete,N,has_url_mapping_incomplete,24052473753,隔日到貨🔥 口紅化妝包 化妝包 收納包 B20 便攜 洗漱包 小包 包包 日韓 少女,214787944849,少女口紅化妝包,missing,legacy_import,https://detail.1688.com/offer/734419757382.html,734419757382,734419757382,,,,N,92.0,45.0,88,88,error,200,https://detail.1688.com/offer/734419757382.html,waf_punish,http_get,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948796,藍格子,missing,legacy_import,,,,,,,N,5.0,14.0,51,51,unchecked,,,no_url,none,source=legacy_import
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526092,擁抱狗狗,discontinued,manual,https://detail.1688.com/offer/896158447887.html,896158447887,896158447887,,,2026-08-10T13:35:34Z,N,0.0,6.0,24,24,error,200,https://detail.1688.com/offer/896158447887.html,waf_punish,http_get,source=manual
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948798,綠格子,missing,legacy_import,,,,,,,N,0.0,5.0,20,20,unchecked,,,no_url,none,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,25252473631,隔日到貨🔥 格紋小方包 化妝包 B20 收納包 便攜 洗漱包 包包 日韓 少女 小包,204787948797,黃格子,missing,legacy_import,,,,,,,N,9.0,7.0,19,19,unchecked,,,no_url,none,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,25083447472,隔日到貨🔥 ins韓風 手機殼吊飾 Airpods殼吊飾 手機殼掛飾 手機掛件 掛飾 手機吊飾 手機掛繩 掛繩,226541342229,黃色花朵,missing,legacy_import,,,,,,,N,2.0,4.0,14,14,unchecked,,,no_url,none,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526091,彩虹梨包,missing,legacy_import,,,,,,,N,4.0,4.0,12,12,unchecked,,,no_url,none,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526088,Oft.Paris,missing,legacy_import,,,,,,,N,5.0,4.0,11,11,unchecked,,,no_url,none,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,24032554030,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,118388600937,套裝 - 聖誕帽棕熊,missing,legacy_import,,,,,,,N,1.0,3.0,11,11,unchecked,,,no_url,none,source=legacy_import
mapping_suspect,mapping_suspect,N,has_url_mapping_incomplete,N,has_url_mapping_incomplete,26902988030,隔日到貨🔥 韓國 ins風 毛絨卡套 證件夾 證件套 識別證 證件 掛繩 卡片夾 名牌夾 名牌套 卡套 悠遊卡卡,168260538655,開心兔,missing,legacy_import,https://detail.1688.com/offer/731077655765.html,731077655765,731077655765,,,,N,6.0,4.0,10,10,error,200,https://detail.1688.com/offer/731077655765.html,waf_punish,http_get,source=legacy_import
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,8636176778,隔日到貨🔥 韓版 圓領 V領 短袖 上衣 短T 短袖 素T 寬鬆 t桖 棉質 t-shirt 衣服 夏天 素色,55086316865,【圓領】深咖啡色,missing,legacy_import,,,,,,,N,2.0,3.0,10,10,unchecked,,,no_url,none,source=legacy_import
mapping_suspect,mapping_suspect,N,has_url_mapping_incomplete,N,has_url_mapping_incomplete,19725077805,隔日到貨🔥 ins韓風 手機殼吊飾 手機殼掛飾 手機殼掛繩 手機掛件 掛飾 手機吊飾 鍊條 手提掛飾 手機掛繩 掛繩,194347278765,15.水晶愛心繩,missing,legacy_import,https://detail.1688.com/offer/752797767076.html,752797767076,752797767076,,,,N,7.0,4.0,9,9,error,200,https://detail.1688.com/offer/752797767076.html,waf_punish,http_get,source=legacy_import
url_suspect,url_suspect,N,status_stale,N,status_stale,24242091907,隔日到貨🔥 iPhone 手機殼 17 16 15 14 pro 13 12 11 XS XR X 保護殼 軟殼 蘋果,188264743040,"鏡面愛心,X/XS",stale,legacy_user_approved,https://detail.1688.com/offer/838528968671.html,838528968671,838528968671,,镜面奶油壳-透明-涂鸦爱心,,N,3.0,4.0,9,9,error,200,https://detail.1688.com/offer/838528968671.html,waf_punish,http_get,source=legacy_user_approved
mapping_suspect,mapping_suspect,N,has_url_mapping_incomplete,N,has_url_mapping_incomplete,12464289714,隔日到貨🔥 Apple Pencil 1代/2代 薄款 矽膠筆套 ipad筆套 筆尖套 撞色套組 適用 筆尖套,141225386624,"薰衣紫,2代",missing,legacy_import,https://detail.1688.com/offer/621170303718.html,621170303718,621170303718,,,,N,4.0,3.0,8,8,error,200,https://detail.1688.com/offer/621170303718.html,waf_punish,http_get,source=legacy_import
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,20488473843,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,204276976414,1. 套裝 - 綠色香腸嘴 （鐳射線套）,discontinued,manual,https://detail.1688.com/offer/715793566068.html,715793566068,715793566068,,,2026-08-10T14:45:47Z,N,0.0,2.0,8,8,error,200,https://detail.1688.com/offer/715793566068.html,waf_punish,http_get,source=manual
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,20488473843,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,235303163998,14. 套裝 - 發芽碳球,discontinued,manual,https://detail.1688.com/offer/702421478513.html,702421478513,702421478513,,,2026-08-10T13:49:58Z,N,0.0,2.0,8,8,error,200,https://detail.1688.com/offer/702421478513.html,waf_punish,http_get,source=manual
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,20488473843,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,204276976417,4. 套裝 - 粉色香腸嘴（粉色線套）,discontinued,manual,https://detail.1688.com/offer/715793566068.html,715793566068,715793566068,,,2026-08-10T14:45:47Z,N,1.0,2.0,7,7,error,200,https://detail.1688.com/offer/715793566068.html,waf_punish,http_get,source=manual
mapping_suspect,mapping_suspect,N,has_url_mapping_incomplete,N,has_url_mapping_incomplete,14351597697,隔日到貨🔥 20w 保護套 充電頭保護套 快充專用 保護套 iPhone 蘋果充電頭專用 充電器周邊,87208687292,"8. 綠熊,20W快充頭（5W豆腐頭不適用)",missing,legacy_import,https://detail.1688.com/offer/662375994319.html,662375994319,662375994319,,,,N,6.0,3.0,6,6,error,200,https://detail.1688.com/offer/662375994319.html,waf_punish,http_get,offer_id_field_empty_parsed_from_url;source=legacy_import
mapping_suspect,mapping_suspect,N,has_url_mapping_incomplete,N,has_url_mapping_incomplete,13639407139,隔日到貨🔥 iPhone 手機殼 17 16 15 14 13 12 11 XS XR SE X 8 保護殼 軟殼 蘋果,335093205072,17,missing,legacy_import,https://detail.1688.com/offer/657336800632.html,657336800632,657336800632,,,,N,0.0,2.0,6,6,error,200,https://detail.1688.com/offer/657336800632.html,waf_punish,http_get,source=legacy_import
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,15096771610,隔日到貨🔥 矽膠手環 手機殼手環 適用所有手機殼 手機殼吊飾 手環扣 手腕帶 手機掛件 掛飾 鍊條 手機掛繩 手機掛鉤,39270698625,果粉,discontinued,manual,https://detail.1688.com/offer/674019917510.html,674019917510,674019917510,,,2026-08-10T14:28:23Z,N,0.0,2.0,6,6,error,200,https://detail.1688.com/offer/674019917510.html,waf_punish,http_get,source=manual
no_url,no_url,N,no_url_and_no_offer_id,N,no_url,23244459752,隔日到貨🔥 韓系 帆布袋 B37 帆布包 單肩包 帆布袋 手提袋 單肩包 提袋 環保袋 購物袋 收納包 簡約文青,167688526100,胖嘟嘟女孩,missing,legacy_import,,,,,,,N,2.0,2.0,6,6,unchecked,,,no_url,none,source=legacy_import
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,20488473843,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,204276976416,3. 套裝 - 粉色香腸嘴 （鐳射線套）,discontinued,manual,https://detail.1688.com/offer/715793566068.html,715793566068,715793566068,,,2026-08-10T13:49:52Z,N,0.0,1.0,4,4,error,200,https://detail.1688.com/offer/715793566068.html,waf_punish,http_get,source=manual
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,20488473843,隔日到貨🔥 ins爆款 充電器保護套 20W 適用蘋果 線套 咬線器 集線器 iPhone 充電線套 充電套,204277011264,8. 套裝 - 藍大愛心,discontinued,manual,https://detail.1688.com/offer/691886666407.html,691886666407,691886666407,,,2026-08-10T14:45:47Z,N,0.0,1.0,4,4,error,200,https://detail.1688.com/offer/691886666407.html,waf_punish,http_get,source=manual
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,9150720936,隔日到貨🔥 韓風熱銷款🏆 太空人 吊飾 鑰匙扣 鑰匙圈 汽車鑰匙圈 公仔 掛飾 吊墜 掛鉤 吊環 墜飾,91757189453,1. 藍色太空人,discontinued,manual,https://detail.1688.com/offer/612901941751.html,612901941751,612901941751,,,2026-08-09T08:10:53Z,N,0.0,1.0,4,4,error,200,https://detail.1688.com/offer/612901941751.html,waf_punish,http_get,source=manual
url_suspect,url_suspect,N,status_discontinued,N,status_discontinued,9150720936,隔日到貨🔥 韓風熱銷款🏆 太空人 吊飾 鑰匙扣 鑰匙圈 汽車鑰匙圈 公仔 掛飾 吊墜 掛鉤 吊環 墜飾,91757189465,10. 小熊,discontinued,manual,https://detail.1688.com/offer/612901941751.html,612901941751,612901941751,,,2026-08-09T08:10:56Z,N,0.0,1.0,4,4,error,200,https://detail.1688.com/offer/612901941751.html,waf_punish,http_get,source=manual
